base_feature,ori_missing,ori_auc,new_missing,new_auc,missing_diff,auc_abs_gain,auc_pct_gain
R_6,0.937428227136734,0.5053897387793882,0.8661641749089697,0.5228302663645876,7.126405222776433,0.017440527585199428,3.4509065473552356
R_7,0.0,0.5868143819404057,0.0,0.5868143819404057,0.0,0.0,0.0
R_8,0.0,0.5687860397668123,0.0,0.5687860397668123,0.0,0.0,0.0
R_9,0.9412677348429876,0.5143203842003428,0.9138485943958877,0.5157344207809764,2.741914044709992,0.0014140365806336597,0.2749330230868025
R_10,0.0,0.591201792265277,0.0,0.591201792265277,0.0,0.0,0.0
R_11,0.0,0.520806091727916,0.0,0.520806091727916,0.0,0.0,0.0
R_12,0.0,0.5376896124599297,0.0,0.5376896124599297,0.0,0.0,0.0
R_13,0.0,0.5375591830821805,0.0,0.5375591830821805,0.0,0.0,0.0
R_14,0.0,0.5356649934337525,0.0,0.5356649934337525,0.0,0.0,0.0
R_15,0.0,0.5352313154387798,0.0,0.5352313154387798,0.0,0.0,0.0
R_16,0.0,0.5374800018598016,0.0,0.5374800018598016,0.0,0.0,0.0
R_17,0.0,0.5242137874403144,0.0,0.5242137874403144,0.0,0.0,0.0
R_18,0.0,0.5002533272708132,0.0,0.5002533272708132,0.0,0.0,0.0
R_19,0.0,0.5215878624959013,0.0,0.5215878624959013,0.0,0.0,0.0
R_20,0.0,0.5373270595515774,0.0,0.5373270595515774,0.0,0.0,0.0
R_21,0.0,0.5244465737876953,0.0,0.5244465737876953,0.0,0.0,0.0
R_22,0.0,0.5054685518527086,0.0,0.5054685518527086,0.0,0.0,0.0
R_23,0.0,0.5000711261630435,0.0,0.5000711261630435,0.0,0.0,0.0
R_24,0.0,0.5361268360133002,0.0,0.5361268360133002,0.0,0.0,0.0
R_25,0.0,0.5076287072777853,0.0,0.5076287072777853,0.0,0.0,0.0
R_26,0.8885562187168374,0.5364037974391167,0.8882881940585688,0.5364826913307751,0.026802465826858413,7.889389165838256e-05,0.014707929368702362
R_27,0.8886085162111337,0.5375566379602816,0.8883274171792911,0.53758138912073,0.0281099031842591,2.4751160448310827e-05,0.00460438188285187
R_28,0.0,0.5005580559326238,0.0,0.5005580559326238,0.0,0.0,0.0
B_1,0.0,0.8350366907014878,0.0,0.8350366907014878,0.0,0.0,0.0
B_2,6.755093013272669e-05,0.8394965863034269,6.755093013272669e-05,0.8394965863034269,0.0,0.0,0.0
B_3,6.755093013272669e-05,0.8383252307736343,6.755093013272669e-05,0.8383252307736343,0.0,0.0,0.0
B_4,0.0,0.8204752983973269,0.0,0.8204752983973269,0.0,0.0,0.0
B_5,0.3898712827921632,0.6492526229778466,0.15224236402106717,0.6605232347528056,23.762891877109602,0.011270611774959027,1.7359362713492799
B_6,8.716249049384089e-05,0.8339926015483371,8.716249049384089e-05,0.8339926015483371,0.0,0.0,0.0
B_7,0.0,0.8465418161487738,0.0,0.8465418161487738,0.0,0.0,0.0
B_8,0.008914543715257576,0.6740705506696636,0.006491426479528799,0.6746748228386679,0.24231172357287767,0.0006042721690042718,0.08964524090304053
