col1,col2,cross_type,agg_type,benchmark,challenge,improvement
R_20,B_3,sigmoid_ratio,min,0.725,0.8188765884906861,12.948494964232571
R_1,D_47,sigmoid_subtract,last,0.725,0.8161682957613687,12.57493734639569
R_1,D_47,sigmoid_ratio,last,0.725,0.8160058828479967,12.552535565240927
R_10,B_11,sigmoid_ratio,std,0.7339741826025613,0.8248513785832855,12.381524873053085
R_3,R_10,sigmoid_product,max,0.725,0.8142063025585613,12.30431759428432
R_3,R_10,sigmoid_add,max,0.725,0.8141638232794861,12.298458383377397
S_13,D_44,sigmoid_subtract,min,0.725,0.8139262222361994,12.265685825682676
R_8,B_6,sigmoid_subtract,max,0.7487307157780159,0.8377628219327002,11.891071686857398
R_8,B_6,sigmoid_ratio,max,0.7487307157780159,0.8377625554702556,11.89103609830212
R_3,B_30,sigmoid_product,mean,0.754753479149509,0.8443355792061595,11.86905427154782
R_3,B_30,sigmoid_add,mean,0.754753479149509,0.8437385555882198,11.789952467524003
D_44,D_52,sigmoid_ratio,min,0.7458253727639687,0.8328899805073321,11.673591556788827
R_3,B_30,sigmoid_product,max,0.7475028134895966,0.8346567112332043,11.65934042933481
D_44,D_52,sigmoid_subtract,min,0.7458253727639687,0.8327012994021957,11.648293261500598
R_3,B_30,sigmoid_add,max,0.7475028134895966,0.8337929022500793,11.543781134100529
B_30,D_52,sigmoid_ratio,max,0.7475028134895966,0.8336645323576501,11.526607968981608
B_30,D_52,sigmoid_subtract,max,0.7475028134895966,0.8335752456597842,11.514663305195118
B_42,D_58,sigmoid_ratio,last,0.8176998625599692,0.9110534969127012,11.416613677843877
B_42,D_58,sigmoid_subtract,last,0.8176998625599692,0.9108767059111637,11.394993153048375
B_22,D_52,sigmoid_ratio,max,0.7563817341513692,0.8423595658967078,11.36698942654959
B_22,D_52,sigmoid_subtract,max,0.7563817341513692,0.8422895698092057,11.357735357560118
B_33,D_59,sigmoid_ratio,min,0.725,0.8067432304624119,11.274928339643028
B_33,D_59,sigmoid_subtract,min,0.725,0.8067169631333202,11.271305259768306
R_15,B_38,sigmoid_subtract,min,0.7283199912856353,0.8093590487944695,11.126847879842423
R_15,B_38,sigmoid_ratio,min,0.7283199912856353,0.808810679296003,11.051555493936812
S_37d,B_38,sigmoid_subtract,min,0.7283199912856353,0.8078174732504271,10.915186033059769
R_3,B_3,sigmoid_product,min,0.725,0.8033025639642051,10.800353650235186
R_3,B_3,sigmoid_add,min,0.725,0.8032139231410557,10.788127329800783
B_22,D_52,sigmoid_ratio,last,0.7437387707622168,0.823914783097519,10.780130804951067
B_22,D_52,sigmoid_subtract,last,0.7437387707622168,0.8238982992419074,10.777914454767428
B_3,D_56,sigmoid_ratio,min,0.725,0.8030697586737856,10.76824257569457
S_3,D_78,sigmoid_product,std,0.725,0.8026096651455733,10.704781399389425
B_3,D_56,sigmoid_subtract,min,0.725,0.8023042727872647,10.662658315484787
P_2,B_30,sigmoid_subtract,std,0.725,0.8019281233501273,10.610775634500321
R_3,R_10,sigmoid_product,mean,0.7320495554204748,0.8091656108197857,10.534267090021924
S_22,B_22,sigmoid_add,last,0.7270437554592856,0.8032892373591388,10.487055466378049
S_3,D_78,sigmoid_add,std,0.725,0.8010120871600221,10.484425815175472
