,overall,gini,top4,col1,col2
1925,0.770893515167212,0.9130461207865171,0.6287409095479071,S_11,B_24
1926,0.7708989691638704,0.9130570287798336,0.6287409095479071,B_13,B_30
1927,0.7708727354991644,0.9130045614504216,0.6287409095479071,S_11,R_28
1928,0.7708480422973576,0.9129551750468082,0.6287409095479071,S_17,B_12
1929,0.7708438721513791,0.9129468347548512,0.6287409095479071,S_22,R_4
1930,0.7708554185169418,0.9129699274859766,0.6287409095479071,B_12,B_30
1931,0.770844062044422,0.912947214540937,0.6287409095479071,S_9,B_31
1932,0.7708571654539821,0.9129734213600572,0.6287409095479071,R_1,R_7
1933,0.7708473940554094,0.9129538785629115,0.6287409095479071,S_19,B_25
1934,0.7708397071376449,0.9129385047273828,0.6287409095479071,B_32,B_40
1935,0.7708187762657808,0.9128966429836544,0.6287409095479071,S_7,S_9
1936,0.7708874285096249,0.913067460658782,0.6287073963604678,S_13,B_7
1937,0.7708754143202445,0.9130434322800212,0.6287073963604678,S_13,S_23
1938,0.7708542982927935,0.9130012002251192,0.6287073963604678,S_27,B_20
1939,0.7707987046369589,0.91289001291345,0.6287073963604678,R_13,B_23
1940,0.7708726223792843,0.9130378483981008,0.6287073963604678,S_6,B_27
1941,0.7707994290729969,0.912891461785526,0.6287073963604678,P_4,B_13
1942,0.770830011327872,0.9129526262952762,0.6287073963604678,R_18,R_21
1943,0.7708125881476695,0.9129177799348712,0.6287073963604678,R_17,B_7
1944,0.7708286370707341,0.9129498777810005,0.6287073963604678,R_9,B_11
1945,0.7708520282616114,0.9129966601627548,0.6287073963604678,S_12,B_4
1946,0.7708741233633809,0.913040850366294,0.6287073963604678,S_6,R_4
1947,0.770841154614854,0.9129749128692404,0.6287073963604678,S_19,B_14
1948,0.7708550922115256,0.9130027880625834,0.6287073963604678,R_9,R_21
1949,0.770834306226869,0.9129612160932704,0.6287073963604678,S_11,B_8
1950,0.7708558758657678,0.9130043553710676,0.6287073963604678,R_13,B_36
1951,0.7708950242313549,0.913082652102242,0.6287073963604678,R_16,B_31
1952,0.770867430521879,0.9130274646832902,0.6287073963604678,R_16,B_9
1953,0.7707821515695781,0.9128569067786884,0.6287073963604678,B_36,B_38
1954,0.7708788501604846,0.9130503039605016,0.6287073963604678,S_16,B_30
1955,0.7708934048108484,0.9130794132612292,0.6287073963604678,S_23,R_17
1956,0.7709316459535391,0.9131558955466104,0.6287073963604678,R_21,B_4
1957,0.7708692272022121,0.9130310580439563,0.6287073963604678,S_16,S_20
1958,0.7707885313441705,0.9128696663278733,0.6287073963604678,B_7,B_25
1959,0.7708554179116511,0.9130034394628344,0.6287073963604678,R_28,B_17
1960,0.7708389406435731,0.9129704849266784,0.6287073963604678,R_25,B_37
1961,0.7708262967672819,0.912945197174096,0.6287073963604678,S_16,R_23
1962,0.7708106951390579,0.912913993917648,0.6287073963604678,R_10,B_26
1963,0.7708391542238984,0.912970912087329,0.6287073963604678,R_12,R_13
1964,0.770926894284789,0.9131463922091102,0.6287073963604678,B_29,B_36
1965,0.7708651399617192,0.9130228835629708,0.6287073963604678,P_2,R_3
1966,0.7707303344560541,0.9127532725516404,0.6287073963604678,B_23,B_40
1967,0.7708222529534733,0.9129371095464788,0.6287073963604678,S_26,B_2
1968,0.7708997999821741,0.9130922036038804,0.6287073963604678,B_14,B_21
1969,0.7708017464787429,0.912896096597018,0.6287073963604678,S_18,B_5
1970,0.7708476390082748,0.912987881656082,0.6287073963604678,R_4,R_18
1971,0.7708600641719964,0.913012731983525,0.6287073963604678,R_19,B_1
1972,0.7708472246651272,0.9130205661572256,0.6286738831730286,B_10,B_24
1973,0.7708432029594486,0.9130125227458686,0.6286738831730286,S_6,B_22
1974,0.7708018674681659,0.9129298517633032,0.6286738831730286,B_15,B_32
1975,0.770843013066405,0.9130121429597816,0.6286738831730286,R_28,B_21
1976,0.7708176041138984,0.9129613250547682,0.6286738831730286,B_16,B_24
1977,0.7707952520051187,0.9129166208372088,0.6286738831730286,R_14,B_10
1978,0.7708566202254932,0.9130393572779576,0.6286738831730286,R_18,B_36
1979,0.770853881975705,0.9130338807783814,0.6286738831730286,R_16,B_36
1980,0.7707657198864086,0.9128575565997888,0.6286738831730286,B_10,B_40
1981,0.7708195377856762,0.912965192398324,0.6286738831730286,S_6,B_10
1982,0.7708392594217994,0.9130046356705704,0.6286738831730286,B_14,B_41
1983,0.7708207359673531,0.9129675887616776,0.6286738831730286,B_7,B_20
