number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_min_child_samples,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_subsample_freq,state
15,0.7784580345270176,2022-07-09 04:44:22.664283,2022-07-09 04:51:39.597422,0 days 00:07:16.933139,0.37446893714625074,229,289,0.8618305019548694,8.943153291083691,2.041358105050302,0.657862042800929,9,COMPLETE
16,0.7773500430079778,2022-07-09 04:51:39.606314,2022-07-09 04:57:52.780189,0 days 00:06:13.173875,0.400949729488194,248,238,1.3120784546917887,2.0856546593130325,2.1707098456965657,0.6262640667396848,7,COMPLETE
17,0.7792390946741161,2022-07-09 04:57:52.786520,2022-07-09 05:06:46.045651,0 days 00:08:53.259131,0.5895821390623409,231,271,0.3826785636907774,0.7177915535169448,2.0550531427947956,0.6651477077829488,9,COMPLETE
18,0.7802120991467081,2022-07-09 05:06:46.050199,2022-07-09 05:14:52.681170,0 days 00:08:06.630971,0.37943694962015273,214,290,0.8982643806244064,4.959909350053193,2.226739701902128,0.7432120779626499,8,COMPLETE
19,0.7784249475493658,2022-07-09 05:14:52.687075,2022-07-09 05:21:53.843139,0 days 00:07:01.156064,0.4124062612450415,242,267,2.137311252903837,2.038712556083028,2.16483107179329,0.6455966937157062,6,COMPLETE
20,0.7804022099514306,2022-07-09 05:21:53.850936,2022-07-09 05:30:16.148337,0 days 00:08:22.297401,0.3555064403178774,216,281,0.11425290766321758,0.5614666922697743,2.007571200558839,0.6189003552022508,7,COMPLETE
21,0.7797629945036205,2022-07-09 05:30:16.156045,2022-07-09 05:38:41.135993,0 days 00:08:24.979948,0.3525109729921728,215,283,0.15333947974852807,0.5140105330112748,2.004906983524261,0.6203865026873703,7,COMPLETE
22,0.7808142695638579,2022-07-09 05:38:41.144632,2022-07-09 05:47:54.136231,0 days 00:09:12.991599,0.3765239519715471,206,294,0.110239282336933,0.3271089056336972,2.067660224591967,0.6024528966069601,7,COMPLETE
23,0.7801048963705977,2022-07-09 05:47:54.141633,2022-07-09 05:56:59.495656,0 days 00:09:05.354023,0.3792606764940072,200,296,0.33778094275102566,0.25703577053324606,2.072894041996083,0.6063633459381804,8,COMPLETE
24,0.7807066023879392,2022-07-09 05:56:59.503848,2022-07-09 06:05:26.226565,0 days 00:08:26.722717,0.3749202927963382,232,291,0.439173719876099,0.9640739146043695,2.088481753118434,0.68542493491375,6,COMPLETE
25,0.7807780523404664,2022-07-09 06:05:26.231814,2022-07-09 06:15:20.651978,0 days 00:09:54.420164,0.4185988523623814,208,293,0.28731769969723053,0.10281106925390071,2.083639788399318,0.7505738345319813,6,COMPLETE
26,0.781032892376459,2022-07-09 06:15:20.659766,2022-07-09 06:25:26.388302,0 days 00:10:05.728536,0.4663861186616683,204,290,0.2603089332823823,0.2610987574234948,2.0796351428290683,0.7546278201072811,6,COMPLETE
