base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
D_80,6.5,31.5,66.2,12.5,,52.4,,50.8,15.0,49.6,47.8,63.4,11.0,12.5,22.0,5.5,,,,6.5,,30.5,5.5,12.5
D_82,,8.0,5.0,,,,,,5.0,,,,,,,3.5,7.0,,7.0,,,7.0,,
D_83,,,,,,,,9.0,,,,,,,,,,,,,,,,
D_91,,6.5,31.0,,,,,,6.5,10.0,,,,,,,11.0,,,,,,,
D_92,,,,,2.0,,,,,,,,,,,,,,,,,,,
D_96,,,12.0,,,,,,,,11.0,,,,,,,,,,,,,
P_2,122.8,172.0,94.0,84.4,94.4,64.4,301.8,124.0,213.2,105.4,71.6,88.2,99.0,82.6,86.2,97.4,159.4,54.6,66.8,173.2,101.8,75.8,145.6,95.4
P_3,101.8,97.0,89.8,63.4,71.6,72.0,80.6,72.6,69.4,90.2,83.0,66.8,87.6,97.4,94.8,101.2,65.2,65.0,77.0,49.8,73.0,110.8,57.2,58.6
P_3a,93.0,102.6,90.4,59.8,86.8,77.2,72.2,91.4,78.6,108.6,100.2,71.4,78.4,83.6,98.4,66.6,41.4,73.0,76.4,60.0,77.0,68.6,79.2,58.8
P_4,,28.5,17.5,1.0,4.0,,,,6.0,5.0,1.0,3.0,,7.5,42.2,7.0,,0.0,7.0,,,16.0,,7.0
R_1,62.0,129.0,91.0,18.5,,41.0,81.8,87.6,124.0,80.4,66.6,70.4,,,,39.0,,,24.0,,,126.6,,37.5
R_10,,,14.5,,,,,41.6,,10.5,14.0,9.5,,,,,,,,,,,,10.5
R_11,5.0,58.2,82.0,8.5,,,37.6,50.2,17.5,28.0,23.0,39.0,,,7.0,,,,,,,49.0,,
R_12,,,,,,,7.0,,,,,,,,,,,,,,,,,
R_14,,,,,,,,,,,,,,,,9.5,,,11.0,,,11.0,,
R_15,,6.0,14.0,,,,,,,,,12.0,,,,,,,,,,7.5,,
R_16,6.0,31.8,60.2,,,11.5,,25.5,13.5,29.5,20.5,23.5,,,,,,,,,,41.2,,
R_2,,,9.5,1.5,,,40.4,23.0,13.5,7.0,,14.5,,,,,,,,,,8.5,,
R_26,,24.0,17.0,,,,,,,,,,15.0,,,,,,,,,,,
R_27,5.5,11.0,18.5,5.0,9.5,7.5,16.0,9.5,23.5,8.5,5.0,8.0,48.0,19.5,13.0,9.0,56.8,8.5,10.0,17.0,4.5,12.5,15.5,4.0
R_3,11.0,110.4,104.4,14.0,18.0,32.6,56.2,61.6,64.8,69.0,73.4,79.4,25.0,32.0,46.2,53.0,,,9.5,23.6,,82.4,15.5,14.0
R_4,,,,,,,9.5,,,,,,,,,,,,,,,,,
R_5,,,,11.5,,,43.4,10.5,,,,,,,,,,,,,,8.5,,41.6
R_6,52.8,43.4,85.8,9.5,7.0,33.6,13.5,67.6,13.0,43.0,36.8,35.2,20.5,10.0,10.5,17.5,0.0,5.0,11.5,8.5,4.5,47.2,9.0,11.0
R_7,,,,9.0,,,25.0,,,,,,,,,,,,,,,,,11.5
R_8,,,,,,,,11.0,19.0,,,12.0,,,,,,,,,,9.5,,
R_9,,12.0,14.0,,30.0,,,,,,,,,8.0,11.0,,11.0,,3.0,,,11.0,,
S_11,85.6,127.2,60.4,21.0,25.0,34.0,42.2,69.4,70.2,59.2,59.4,60.0,74.4,60.8,69.2,71.4,32.8,22.2,23.5,28.0,19.2,60.6,31.8,27.8
S_12,10.0,88.0,50.4,7.0,27.2,23.0,30.0,34.0,54.0,26.4,27.4,26.8,45.4,54.8,47.4,84.6,64.4,22.0,68.2,32.2,22.2,63.4,33.8,7.5
S_12a,13.0,123.6,75.6,9.0,33.6,20.2,43.8,36.8,80.8,29.2,30.0,30.6,54.6,53.2,56.6,108.2,38.8,26.0,80.2,50.0,18.5,63.8,30.2,15.0
S_13,6.5,78.5,86.8,9.5,17.0,34.0,28.0,67.6,37.0,40.8,45.2,39.2,39.5,33.0,35.5,33.0,,7.0,43.0,15.5,24.5,98.2,14.0,17.0
S_15,58.2,127.8,76.4,19.5,11.0,35.0,16.5,80.4,43.0,65.4,54.0,55.0,41.6,40.6,34.4,45.8,16.0,10.5,18.0,14.5,9.5,73.2,,21.0
S_16,1.6666666666666667,8.0,7.5,1.0,9.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,10.5,2.0,6.0,6.0,4.0,1.0
S_17,3.3333333333333335,5.5,10.5,,2.0,1.6666666666666667,3.0,4.25,7.0,3.25,3.6666666666666665,5.0,5.25,6.0,3.0,10.5,11.0,1.0,11.0,1.0,0.0,9.0,1.0,
S_22,53.0,46.6,59.8,47.8,44.8,56.4,40.4,115.6,52.2,70.2,58.8,59.8,39.8,44.8,48.8,26.4,21.4,26.2,44.0,28.4,38.4,67.0,28.4,65.0
S_23,5.5,45.2,32.8,7.333333333333333,1.0,7.0,37.2,23.4,27.8,4.5,9.75,6.0,21.0,15.0,10.5,48.0,37.0,13.0,47.8,9.0,7.0,28.2,9.0,6.333333333333333
S_24,73.0,55.0,79.6,51.6,40.4,63.6,56.0,110.4,59.2,69.0,85.8,71.6,50.4,53.2,69.0,42.4,26.8,35.2,43.6,30.5,60.8,75.4,25.2,66.4
S_25,7.25,74.6,24.0,6.666666666666667,23.0,4.75,32.6,26.6,43.6,8.0,5.5,2.75,13.0,9.5,8.5,70.0,43.0,13.0,41.8,7.5,4.0,34.4,12.5,9.666666666666666
S_26,64.8,103.8,72.0,13.0,22.8,28.8,21.5,53.4,31.0,56.8,60.4,56.0,33.4,36.2,26.0,36.6,2.0,16.5,44.8,19.5,10.5,81.4,17.0,16.0
S_27,23.0,99.0,61.2,11.0,25.4,33.2,29.6,38.4,60.8,35.4,42.8,34.0,61.6,67.8,52.0,66.8,57.0,43.8,70.2,30.2,38.6,57.8,38.4,15.0
S_3,75.4,252.2,92.0,70.0,68.0,65.2,187.2,83.0,208.2,84.2,92.2,62.2,92.0,102.2,123.6,140.6,98.2,53.0,82.8,85.2,72.8,104.2,81.6,75.4
S_5,112.2,65.2,88.6,37.2,32.6,40.8,38.0,72.0,37.0,76.4,70.0,62.6,43.8,47.8,59.6,42.8,15.8,47.8,40.8,21.6,73.8,63.0,21.2,33.6
S_6,,,25.5,,,,,,,,,,,,,,,,,,,,,
S_7,86.0,126.0,74.2,75.8,83.2,64.8,107.4,99.2,113.0,90.4,78.2,78.8,78.0,80.2,89.4,101.0,60.0,64.4,77.2,59.0,107.8,93.8,62.0,73.0
S_8,29.6,171.8,96.4,61.6,53.0,71.8,84.8,102.4,118.0,78.8,88.6,69.0,75.4,89.6,93.0,86.0,36.0,34.0,51.8,39.8,35.5,95.6,44.0,75.0
S_9,14.0,151.0,56.2,26.4,22.4,35.6,73.0,78.2,91.4,39.6,41.4,23.5,28.0,52.0,62.2,71.8,44.6,16.0,45.6,26.6,25.6,81.6,22.2,21.0
