base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
R_23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_24,0.4,,0.4,0.0,0.0,0.4,,,,,,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.2
R_25,0.0,0.0,0.2,0.0,0.0,,0.0,0.0,,0.2,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
R_26,0.0,8.8,6.2,0.0,2.4,0.6,4.2,1.0,2.2,,2.8,2.4,5.6,4.8,1.6,3.6,2.2,0.0,0.2,3.8,0.0,1.0,4.6,
R_27,71.0,72.8,69.4,64.4,67.4,53.2,75.8,60.2,76.8,67.4,69.0,56.6,78.0,83.8,61.0,75.2,95.2,80.0,68.2,75.2,58.4,66.6,89.0,62.4
R_28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_3,25.4,99.6,76.4,15.8,17.2,24.2,47.8,46.2,48.4,52.0,48.0,53.0,18.0,21.6,31.8,33.4,4.6,3.8,10.8,21.0,3.4,55.4,10.2,12.4
R_4,0.0,,0.2,1.6,,0.6,9.0,3.2,1.4,,,1.8,0.2,0.2,0.4,,0.0,0.0,,0.0,0.0,0.4,0.0,0.2
R_5,,1.4,1.8,6.4,,,23.8,10.4,3.6,,,1.6,0.0,0.0,0.0,4.4,0.0,0.0,2.8,0.0,0.2,6.0,0.2,24.2
R_6,75.0,49.4,67.6,50.0,74.0,44.0,54.8,57.0,52.4,62.6,50.2,43.2,55.6,61.0,53.4,54.6,53.6,57.6,48.4,46.2,54.2,55.0,55.6,43.0
R_7,,2.8,1.6,5.4,,,19.6,1.4,3.4,,,1.6,,0.2,,2.8,0.0,0.2,3.4,0.6,1.6,3.0,0.0,9.6
R_8,3.4,2.0,1.6,,0.0,,1.4,5.4,5.6,3.4,4.4,9.2,,0.0,0.0,,0.0,0.0,,0.0,0.8,9.6,0.0,
R_9,0.0,10.6,6.6,7.2,13.4,,,2.6,,,,1.8,4.4,6.4,9.2,4.2,5.0,3.4,5.2,2.2,,5.0,3.8,9.8
S_11,73.8,110.6,45.6,26.0,17.4,26.6,24.0,50.6,48.8,48.4,39.8,39.6,50.6,44.0,51.8,60.6,24.6,21.4,16.4,16.2,20.4,48.4,20.6,22.8
S_12,67.2,95.4,64.8,47.6,63.0,42.2,65.0,72.6,67.4,69.0,64.2,43.2,55.0,66.6,50.4,58.8,89.2,63.6,73.8,74.2,72.2,96.2,70.6,44.8
S_13,32.4,17.0,55.8,24.2,7.0,23.8,13.8,60.8,14.6,43.4,41.6,54.6,12.6,11.4,16.4,18.2,,8.8,16.0,5.4,14.0,39.8,6.4,28.2
S_15,68.4,96.4,55.4,18.4,11.0,28.2,14.4,66.8,29.6,39.6,27.2,35.0,24.4,31.6,21.6,29.6,17.4,8.2,9.2,7.0,9.0,47.8,4.8,15.6
S_16,70.6,64.8,53.4,50.2,59.0,43.0,47.4,50.0,52.8,53.0,60.6,42.0,58.4,59.4,64.2,56.8,55.2,52.4,48.8,61.4,54.0,60.4,51.8,46.2
S_17,80.2,50.0,57.4,48.0,63.4,48.0,55.4,54.0,65.8,53.6,58.0,45.2,55.8,56.2,47.8,48.8,45.6,58.6,44.6,52.4,54.8,56.8,49.0,47.8
S_18,,,1.4,0.0,0.0,,0.0,4.6,1.0,,,1.6,1.0,,0.6,,0.0,0.0,,0.2,0.8,,,0.0
S_19,,,0.2,,,,,,,,1.4,,,,,,,,0.0,,,0.4,,
S_20,2.8,,9.4,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.2,,0.0
S_22,67.0,27.4,47.8,47.6,47.0,32.4,54.8,65.8,34.0,69.4,53.2,33.6,39.0,38.6,37.4,56.6,28.0,60.0,42.8,37.4,76.4,42.6,42.4,47.2
S_23,60.4,63.2,74.2,58.8,54.0,45.8,91.0,54.0,73.4,60.2,69.6,39.4,84.0,56.4,60.0,65.6,53.4,65.8,63.0,64.8,72.2,85.0,69.2,61.2
S_24,67.2,25.6,41.2,51.2,49.4,43.2,87.4,73.4,37.2,49.8,51.0,33.2,31.0,36.4,32.4,76.8,32.6,60.4,38.4,34.8,100.6,37.6,35.4,50.6
S_25,60.0,49.8,71.0,55.6,72.6,43.0,73.2,44.6,65.8,59.8,62.6,47.0,62.4,52.6,61.8,89.4,65.8,68.8,56.2,66.2,67.6,67.2,66.0,56.0
S_26,57.0,89.0,54.0,46.2,82.8,31.8,68.2,43.4,76.2,61.4,56.2,40.6,65.2,72.6,59.8,91.0,65.2,55.2,79.8,61.8,52.4,81.6,58.0,39.0
S_27,54.4,49.8,54.0,46.6,58.8,55.4,67.8,62.6,56.6,60.0,52.2,58.6,58.4,53.0,61.4,67.8,53.6,59.2,51.6,58.0,79.0,59.6,63.6,49.6
S_3,65.4,212.6,66.4,64.2,88.6,51.6,209.4,75.2,165.0,65.0,62.4,48.8,73.4,84.0,101.6,151.2,143.4,76.2,82.0,107.8,88.6,80.8,86.8,57.8
S_5,63.4,55.0,74.8,41.0,54.2,34.8,67.2,46.6,42.8,53.0,61.2,40.4,49.0,50.0,66.8,60.4,58.8,68.8,49.4,42.6,111.4,51.4,43.6,37.4
S_6,,3.8,17.0,1.0,0.2,0.4,,2.6,1.0,2.4,,1.8,,,,,0.0,0.2,,,0.0,4.2,0.2,1.2
S_7,65.4,91.0,62.0,65.0,82.8,55.8,89.4,93.4,89.2,63.0,57.0,51.2,65.4,58.8,79.4,95.0,91.0,68.4,64.4,65.2,100.2,67.4,64.2,57.6
S_8,58.6,66.4,52.0,34.0,19.2,40.8,40.6,42.6,69.0,62.0,53.0,68.4,41.4,40.8,44.4,50.8,7.0,22.4,42.2,21.4,18.8,54.8,16.2,31.8
S_9,30.4,131.4,44.6,22.2,35.0,26.2,86.8,64.6,89.6,26.2,29.4,18.4,28.2,51.4,48.6,82.0,128.2,22.4,54.0,39.2,36.6,57.4,30.8,22.6
