feature,first,second_last,last,avg,max,min,range,std,displacement,sprint,previous_sprint,last_minus_avg,velocity
D_71,143.6,129.2,151.6,149.0,134.2,117.2,115.8,127.4,107.4,174.6,188.8,145.0,139.0
D_72,,6.0,4.6,46.4,9.0,,,16.4,,,0.0,8.0,1.2
D_73,,0.8,1.0,,10.6,,,19.4,,,1.2,0.4,
D_74,,15.0,,72.4,24.8,14.0,,128.4,13.2,3.4,8.2,67.2,30.2
D_75,,20.0,17.4,73.6,,12.8,,111.4,12.8,7.2,7.4,77.4,27.2
D_76,,14.0,37.8,29.6,30.2,,,7.8,5.4,5.2,7.6,6.0,10.0
D_77,104.4,80.4,86.2,173.0,169.6,192.2,175.0,171.2,35.4,70.6,70.8,77.6,42.2
D_78,,8.2,3.6,14.0,4.2,,,23.6,3.2,4.6,1.0,23.8,5.0
D_79,,2.8,8.4,,,,,8.4,0.6,,1.6,23.0,2.4
D_80,,21.2,13.0,51.6,9.6,,,48.2,24.8,2.0,2.0,64.8,34.2
D_81,,,,,,,,6.4,1.0,,0.0,2.6,
D_82,,7.2,12.6,19.8,11.0,,,7.0,6.4,,0.0,8.2,7.8
D_83,,,3.0,,,,,7.6,,,0.0,5.4,2.8
D_84,,1.6,,5.2,,,,9.6,0.6,6.8,0.8,5.2,2.2
D_86,,8.8,7.2,,,,,,,,0.0,,
D_87,,,,,,,,,,,0.0,,
D_88,,,,,,,,,,,0.0,,
D_89,,,,,,,,1.6,,,0.0,,
D_91,,7.4,17.0,48.0,,,,26.4,,,1.4,10.4,3.6
D_92,,,,,,,,,,,,,
D_93,,,,,,,,,,,0.0,,
D_94,,,,,,,,,,,0.0,,
D_96,,,5.0,9.8,,,,11.0,,,0.0,15.4,
P_2,209.4,236.0,357.2,269.0,230.8,305.2,137.4,157.8,181.0,248.2,220.2,254.4,201.6
P_3,248.6,164.2,224.2,213.0,236.2,205.0,164.6,209.0,147.6,186.2,180.0,181.0,142.4
P_4,,8.6,8.2,23.0,32.4,,,25.8,32.2,7.8,20.0,12.6,24.6
R_1,144.2,145.0,252.4,195.4,121.6,152.8,115.8,172.6,123.4,156.2,179.8,126.6,147.8
R_10,,0.6,,13.2,6.2,,,17.0,,0.8,1.4,39.4,14.4
R_11,,4.8,40.8,87.4,11.8,,,69.6,6.0,1.8,2.6,69.0,4.6
R_12,,1.0,15.2,,,,,5.4,3.4,3.8,0.6,,5.2
R_13,,,,,,,,,,,0.0,,
R_14,,1.0,1.6,,10.4,,,9.2,,,1.6,9.6,
R_15,,,,22.4,,,,19.0,1.8,,0.0,6.2,
R_16,,6.6,,49.0,,,,58.2,4.6,2.4,2.8,36.6,7.6
R_17,,,,,,,,,,,0.0,,
R_18,,,,,,,,,,,0.0,,
R_19,,,,,,,,5.8,2.2,,0.0,6.4,
R_2,,,39.6,8.0,,,,11.2,3.4,2.0,1.0,26.2,4.4
R_20,,,14.0,4.2,,,,7.0,4.6,,0.0,3.6,2.0
R_21,,,,,,,,,,,0.0,,
R_22,,,,,,,,4.8,,,0.0,3.0,
R_23,,,,,,,,,,,0.0,,
R_24,,0.6,,,,,,,,,0.0,,
R_25,,,,,,,,,,,0.0,,
R_26,,14.4,12.6,17.2,6.8,,,0.8,,,0.0,4.6,
R_27,192.2,216.8,180.6,209.0,223.8,224.8,189.4,183.4,166.4,181.0,216.0,175.4,169.8
R_28,,,,,,,,,,,0.0,,
R_3,,46.4,70.8,162.8,64.8,,,119.2,16.8,9.2,7.8,97.0,29.4
R_4,,0.2,8.2,,,,,0.8,0.2,,0.0,5.4,0.8
R_5,,,17.4,,7.6,,,10.8,4.0,0.0,0.2,18.4,25.8
R_6,175.6,156.6,144.4,138.2,122.4,155.4,139.4,148.8,119.4,134.2,166.6,139.8,115.2
R_7,,6.0,23.4,4.2,4.6,,,4.2,5.8,7.4,3.4,9.2,9.2
R_8,,,0.8,5.6,,,,14.8,,8.8,0.4,13.4,
R_9,,13.8,9.4,47.8,,,,4.6,,,0.0,1.8,
S_11,,39.8,51.2,211.0,109.0,51.8,,133.4,29.2,23.8,33.0,114.4,55.0
S_12,155.6,178.2,161.8,181.2,133.2,201.2,124.2,164.8,128.0,173.4,175.4,157.8,119.6
S_13,,11.8,23.4,58.6,38.8,,,98.6,42.8,23.0,27.0,112.0,58.6
S_15,,27.4,,185.6,57.8,,,128.6,15.6,17.6,15.4,108.8,38.6
S_16,169.0,156.6,148.2,178.8,151.2,142.6,118.6,148.6,121.6,151.0,167.8,114.2,128.2
S_17,140.2,150.2,142.4,136.4,117.0,127.2,115.6,149.8,126.6,157.8,179.4,121.8,131.2
S_18,,0.0,,,,,,,,3.4,0.0,7.6,0.2
S_19,154.0,160.6,143.4,145.0,143.6,151.8,138.6,163.4,107.0,160.2,165.2,133.2,121.2
S_20,,,,,,,,1.4,,,0.0,,
S_22,135.6,108.2,128.4,97.2,130.0,,111.4,118.6,116.6,184.6,191.2,172.6,122.2
S_23,138.0,154.6,173.4,157.0,144.2,146.8,137.2,187.8,142.6,151.4,197.6,125.4,148.0
S_24,114.6,119.0,145.8,,132.2,,109.8,118.0,128.8,204.4,165.8,176.2,133.4
S_25,200.4,169.0,193.8,129.8,187.8,143.8,121.2,165.6,140.8,163.2,197.2,140.8,136.0
S_26,179.2,141.2,153.8,173.0,184.8,145.2,153.8,154.8,118.8,159.0,172.6,127.2,131.6
S_27,172.8,165.6,183.4,145.4,188.2,161.0,134.2,146.4,115.0,211.0,183.6,161.4,108.4
S_3,202.2,217.6,364.0,340.6,246.6,264.8,189.0,184.0,160.8,204.4,177.0,188.0,142.4
S_5,147.8,102.0,143.0,116.8,117.2,128.6,81.2,108.4,95.0,210.8,176.2,133.0,105.8
S_6,,,,15.6,,,,18.6,0.6,,0.4,9.4,2.6
S_7,218.6,187.2,222.0,189.0,197.0,186.2,149.4,151.6,150.4,244.6,190.8,196.6,142.0
S_8,,43.6,64.8,162.6,91.0,,89.2,114.8,81.4,39.2,55.4,113.0,94.6
S_9,71.6,102.6,187.4,244.8,,239.6,149.4,148.8,51.0,93.6,74.8,157.2,47.4
